,championship_title,Teams,Score,match_time
0,أولمبياد باريس 2024 - كرة قدم,المغرب vs أمريكا,4 - 0,16:00
1,أولمبياد باريس 2024 - كرة قدم,اليابان vs إسبانيا,0 - 3,18:00
2,أولمبياد باريس 2024 - كرة قدم,مصر vs باراجواي,1 - 1,20:00
3,أولمبياد باريس 2024 - كرة قدم,فرنسا vs الأرجنتين,1 - 0,22:00
4,الدوري المصري,الزمالك vs الجونة,1 - 0,21:00
5,أولمبياد باريس 2024 - كرة اليد,المجر vs الدنمارك,25 - 28,10:00
6,أولمبياد باريس 2024 - كرة اليد,الأرجنتين vs فرنسا,21 - 28,12:00
7,أولمبياد باريس 2024 - كرة اليد,كرواتيا vs السويد,27 - 38,15:00
8,أولمبياد باريس 2024 - كرة اليد,ألمانيا vs إسبانيا,33 - 31,17:00
9,أولمبياد باريس 2024 - كرة اليد,اليابان vs سلوفينيا,28 - 29,20:00
10,أولمبياد باريس 2024 - كرة اليد,النرويج vs مصر,25 - 26,22:00
11,أولمبياد باريس 2024 - كرة طائرة,الارجنتين vs ألمانيا,0 - 3,10:00
12,أولمبياد باريس 2024 - كرة طائرة,البرازيل vs مصر,3 - 0,14:00
13,أولمبياد باريس 2024 - كرة طائرة,فرنسا vs سلوفينيا,2 - 3,18:00
14,أولمبياد باريس 2024 - كرة طائرة,اليابان vs الولايات المتحدة,1 - 3,22:00
